sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
422,0.7602438926696777,8,Short (<=8),2,0,1,1,28.069162,28.28657,-0.21740723
423,0.8110876083374023,13,Long (12-14),103,0,0,0,23.342587,27.94083,-4.5982437
424,0.8703898787498474,14,Long (12-14),19,0,0,0,24.746328,27.395323,-2.6489944
425,0.8183999061584473,13,Long (12-14),1,1,1,1,32.550316,28.22741,4.3229065
426,0.8507372736930847,11,Medium (9-11),1,1,1,1,31.280544,27.876112,3.4044323
427,0.8168312311172485,14,Long (12-14),3,0,1,1,26.226913,26.734247,-0.50733376
428,0.8161718845367432,9,Medium (9-11),3,0,1,1,27.62801,28.81725,-1.1892395
429,0.7324095964431763,11,Medium (9-11),1,1,1,1,31.268143,26.514648,4.7534943
430,0.7748147249221802,6,Short (<=8),12,0,0,0,23.907093,26.979506,-3.0724125
431,0.7813858389854431,7,Short (<=8),7,0,0,1,28.555304,30.216423,-1.6611195
432,0.8953390121459961,8,Short (<=8),37,0,0,0,24.145296,27.262411,-3.117115
433,0.8385272026062012,11,Medium (9-11),3,0,1,1,28.291637,29.318464,-1.0268269
434,0.6015171408653259,20,Very Long (>14),1,1,1,1,35.711143,25.36112,10.350023
435,0.7018260359764099,14,Long (12-14),1,1,1,1,30.641197,26.390615,4.2505817
436,0.6865747570991516,16,Very Long (>14),1,1,1,1,29.63403,26.935097,2.6989326
437,0.6736754775047302,8,Short (<=8),1,1,1,1,35.029476,31.76431,3.2651653
438,0.8685596585273743,9,Medium (9-11),44,0,0,0,24.37888,27.400429,-3.0215492
439,0.6438515782356262,13,Long (12-14),1,1,1,1,33.45331,26.981464,6.4718437
440,0.7524919509887695,9,Medium (9-11),14,0,0,0,26.636791,27.989996,-1.3532047
441,0.8937983512878418,7,Short (<=8),19,0,0,0,25.77551,26.347334,-0.5718231
442,0.627678632736206,7,Short (<=8),4,0,1,1,29.95075,31.840462,-1.8897114
443,0.6049190163612366,12,Long (12-14),1,1,1,1,33.960064,25.976063,7.984001
444,0.6117578744888306,23,Very Long (>14),3,0,1,1,27.221611,32.427258,-5.2056465
445,0.675774872303009,16,Very Long (>14),1,1,1,1,31.613081,27.117464,4.495617
446,0.7476702332496643,10,Medium (9-11),236,0,0,0,21.103529,29.021416,-7.9178867
447,0.8152596354484558,6,Short (<=8),1,1,1,1,28.45399,25.537222,2.916769
448,0.8337650895118713,12,Long (12-14),4,0,1,1,28.230017,29.301369,-1.071352
449,0.8503571152687073,8,Short (<=8),1,1,1,1,31.486399,27.103058,4.383341
450,0.8294116258621216,8,Short (<=8),12,0,0,0,27.255089,28.275282,-1.0201931
451,0.7895644903182983,11,Medium (9-11),1,1,1,1,30.05182,28.615452,1.436369
452,0.8171959519386292,12,Long (12-14),5,0,1,1,27.16498,28.012285,-0.8473053
453,0.8119456171989441,7,Short (<=8),91,0,0,0,23.844446,28.72129,-4.8768444
454,0.8228026628494263,8,Short (<=8),6,0,0,1,27.665154,28.45496,-0.78980637
455,0.4437558054924011,24,Very Long (>14),1,1,1,1,35.63669,28.23481,7.4018784
456,0.6504161953926086,21,Very Long (>14),1,1,1,1,32.038734,26.701714,5.337021
457,0.90488201379776,7,Short (<=8),1,1,1,1,30.44776,28.627554,1.8202057
458,0.6637582778930664,16,Very Long (>14),2,0,1,1,25.895971,27.181356,-1.2853851
459,0.7601104974746704,9,Medium (9-11),2,0,1,1,27.40885,27.428255,-0.019405365
460,0.8379904627799988,8,Short (<=8),2,0,1,1,28.2955,28.906977,-0.6114769
461,0.8128169178962708,8,Short (<=8),246,0,0,0,21.048237,28.164381,-7.116144
462,0.6589320302009583,13,Long (12-14),45,0,0,0,19.925087,26.490906,-6.565819
463,0.7548295259475708,16,Very Long (>14),3,0,1,1,29.058828,30.018494,-0.9596653
464,0.6620489954948425,12,Long (12-14),1,1,1,1,34.6701,27.71418,6.955921
465,0.6804041862487793,10,Medium (9-11),2,0,1,1,26.781607,29.834822,-3.053215
466,0.6976523399353027,11,Medium (9-11),35,0,0,0,23.66317,29.5592,-5.8960304
467,0.8792946934700012,7,Short (<=8),1,1,1,1,32.097675,30.455727,1.6419487
468,0.7334212064743042,19,Very Long (>14),30,0,0,0,23.814878,27.734406,-3.919527
469,0.8389918804168701,10,Medium (9-11),29,0,0,0,24.860285,27.776855,-2.9165707
470,0.7061043977737427,15,Very Long (>14),1,1,1,1,34.6717,27.882051,6.789648
471,0.8966044783592224,12,Long (12-14),3,0,1,1,27.540026,27.734276,-0.1942501
472,0.8549655079841614,7,Short (<=8),20,0,0,0,24.973558,25.955227,-0.9816685
473,0.8377020955085754,10,Medium (9-11),2,0,1,1,27.56493,29.372143,-1.8072128
474,0.8001112937927246,10,Medium (9-11),1,1,1,1,30.539131,29.625675,0.91345596
475,0.7855841517448425,15,Very Long (>14),5,0,1,1,25.581629,26.751995,-1.1703663
476,0.8147409558296204,12,Long (12-14),1,1,1,1,31.62748,29.289024,2.3384552
477,0.7205607295036316,14,Long (12-14),1,1,1,1,31.197018,31.027996,0.1690216
478,0.650568425655365,14,Long (12-14),2,0,1,1,27.608574,27.66259,-0.054016113
479,0.8900149464607239,8,Short (<=8),1,1,1,1,27.098066,26.701635,0.39643097
480,0.7700428366661072,10,Medium (9-11),1,1,1,1,29.82874,27.17417,2.6545696
481,0.847726047039032,8,Short (<=8),9,0,0,1,24.312124,29.263384,-4.9512596
482,0.8010714054107666,12,Long (12-14),1,1,1,1,29.758696,28.514666,1.24403
483,0.6692624092102051,10,Medium (9-11),6,0,0,1,26.105633,28.0877,-1.9820671
484,0.7907926440238953,11,Medium (9-11),33,0,0,0,24.245842,28.908665,-4.6628227
485,0.5947754979133606,14,Long (12-14),1,1,1,1,31.881989,26.794186,5.087803
486,0.8359095454216003,8,Short (<=8),2,0,1,1,28.389698,29.16457,-0.7748718
487,0.7036682963371277,13,Long (12-14),4,0,1,1,26.237232,26.78172,-0.544487
488,0.782213568687439,12,Long (12-14),18,0,0,0,24.51816,27.12937,-2.6112099
489,0.5588340163230896,12,Long (12-14),3,0,1,1,27.94681,32.739132,-4.792322
490,0.6876354813575745,6,Short (<=8),19,0,0,0,24.063608,25.95579,-1.8921814
491,0.8593058586120605,8,Short (<=8),1,1,1,1,28.711315,27.72469,0.9866257
492,0.6091023683547974,11,Medium (9-11),1,1,1,1,32.234886,26.445616,5.7892704
493,0.8926920294761658,8,Short (<=8),2,0,1,1,28.320126,29.046118,-0.7259922
494,0.5004239082336426,25,Very Long (>14),1,1,1,1,30.739958,28.398006,2.3419514
495,0.6824184060096741,12,Long (12-14),1,1,1,1,31.903172,29.974451,1.9287205
496,0.8389053344726562,6,Short (<=8),1,1,1,1,29.892567,27.111698,2.7808685
497,0.7301422953605652,16,Very Long (>14),1,1,1,1,29.795664,27.482754,2.31291
498,0.7849404811859131,7,Short (<=8),47,0,0,0,24.161291,29.016745,-4.8554535
499,0.7462876439094543,14,Long (12-14),1,1,1,1,30.702833,23.445824,7.2570095
500,0.5325873494148254,24,Very Long (>14),1,1,1,1,34.10381,28.42885,5.674959
501,0.6565090417861938,12,Long (12-14),1,1,1,1,32.560993,26.39531,6.1656837
502,0.8036234974861145,10,Medium (9-11),1,1,1,1,31.277824,30.46,0.8178253
503,0.8446850776672363,13,Long (12-14),3,0,1,1,26.871374,27.697245,-0.8258705
504,0.6928461194038391,13,Long (12-14),1,1,1,1,30.78528,28.09446,2.6908207
505,0.9379868507385254,8,Short (<=8),77,0,0,0,23.808733,27.030636,-3.2219028
506,0.762750506401062,10,Medium (9-11),3,0,1,1,27.349329,29.136112,-1.7867832
507,0.7854580879211426,8,Short (<=8),1,1,1,1,33.480824,30.682703,2.7981205
508,0.7808592915534973,13,Long (12-14),1,1,1,1,31.627851,29.470114,2.1577377
509,0.8215544819831848,11,Medium (9-11),9,0,0,1,25.263214,28.634266,-3.3710518
510,0.8306811451911926,7,Short (<=8),1,1,1,1,28.634933,26.361061,2.2738724
511,0.8557640910148621,8,Short (<=8),1,1,1,1,28.811535,25.711323,3.100212
512,0.5491943955421448,9,Medium (9-11),1,1,1,1,29.440857,28.078836,1.3620205
513,0.9240888953208923,8,Short (<=8),14,0,0,0,25.123203,27.247402,-2.124199
514,0.8064497709274292,9,Medium (9-11),1,1,1,1,28.620848,27.501852,1.1189957
515,0.8123893141746521,12,Long (12-14),8,0,0,1,25.666391,28.965446,-3.299055
516,0.794542670249939,12,Long (12-14),1,1,1,1,31.641357,24.682056,6.959301
517,0.7481819987297058,14,Long (12-14),1,1,1,1,31.416983,27.039585,4.3773975
518,0.7650827169418335,6,Short (<=8),1,1,1,1,29.03754,28.90164,0.1359005
519,0.740868866443634,11,Medium (9-11),1,1,1,1,28.109615,26.995872,1.1137428
520,0.9133706092834473,7,Short (<=8),34,0,0,0,24.290857,29.447397,-5.15654
521,0.6965646147727966,18,Very Long (>14),1,1,1,1,29.873726,26.51613,3.3575954
522,0.7910723090171814,14,Long (12-14),1,1,1,1,31.197933,26.747135,4.450798
523,0.7048742175102234,12,Long (12-14),4,0,1,1,25.923788,27.001677,-1.0778885
524,0.8544430732727051,7,Short (<=8),1,1,1,1,30.733343,29.602581,1.1307621
525,0.827747642993927,10,Medium (9-11),4,0,1,1,25.765335,30.082893,-4.3175583
526,0.8320174217224121,8,Short (<=8),1,1,1,1,31.314043,30.823013,0.49102974
527,0.9311378002166748,7,Short (<=8),13,0,0,0,25.947153,26.783583,-0.8364296
528,0.8396100997924805,8,Short (<=8),2,0,1,1,29.489433,30.126328,-0.6368942
529,0.7762271165847778,14,Long (12-14),8,0,0,1,26.82527,29.679321,-2.8540516
530,0.8359658718109131,18,Very Long (>14),8,0,0,1,26.474363,28.34628,-1.8719158
531,0.7689199447631836,10,Medium (9-11),1,1,1,1,36.65489,35.040344,1.6145439
532,0.816688597202301,8,Short (<=8),42,0,0,0,25.334883,27.280104,-1.945221
533,0.7649427056312561,12,Long (12-14),4,0,1,1,28.273327,30.590837,-2.3175106
534,0.6351224184036255,14,Long (12-14),4,0,1,1,23.831245,27.0621,-3.230854
535,0.8257524967193604,9,Medium (9-11),14,0,0,0,24.815315,27.65088,-2.8355656
536,0.7893991470336914,10,Medium (9-11),49,0,0,0,22.686344,30.131823,-7.4454784
537,0.6114716529846191,7,Short (<=8),1,1,1,1,33.782322,23.852497,9.929825
538,0.6586933135986328,13,Long (12-14),1,1,1,1,32.813698,28.631378,4.1823196
539,0.8039622902870178,9,Medium (9-11),1,1,1,1,29.597197,29.277527,0.31966972
540,0.8122869729995728,11,Medium (9-11),24,0,0,0,23.380726,28.162083,-4.781357
541,0.7814232110977173,9,Medium (9-11),16,0,0,0,24.635677,27.648588,-3.0129108
542,0.7056434154510498,12,Long (12-14),1,1,1,1,33.46284,27.36284,6.1000004
543,0.902575671672821,6,Short (<=8),8,0,0,1,25.915468,27.074522,-1.1590538
544,0.8161900639533997,8,Short (<=8),3,0,1,1,28.441025,28.75103,-0.3100052
545,0.6899707913398743,20,Very Long (>14),1,1,1,1,30.813343,28.061718,2.751625
546,0.7009473443031311,15,Very Long (>14),1,1,1,1,28.633955,26.290077,2.3438778
547,0.8811578750610352,10,Medium (9-11),2,0,1,1,27.889544,28.13629,-0.24674606
548,0.6997600197792053,15,Very Long (>14),2,0,1,1,28.062681,28.419117,-0.35643578
549,0.6093801856040955,16,Very Long (>14),51,0,0,0,23.548805,26.46157,-2.9127655
550,0.5255503058433533,13,Long (12-14),1,1,1,1,33.515785,26.716677,6.7991085
551,0.5963361859321594,15,Very Long (>14),1,1,1,1,32.16404,26.056248,6.107792
552,0.7731984853744507,11,Medium (9-11),1,1,1,1,30.237738,29.916647,0.3210907
553,0.6535929441452026,15,Very Long (>14),1,1,1,1,31.457441,30.692238,0.7652035
