sentence_index,sink_score,sentence_length,length_group,rank,hit@1,hit@5,hit@10,sim_pos,sim_neg_top1,sim_margin
403,0.7838042974472046,12,Long (12-14),2,0,1,1,28.620302,30.330246,-1.7099438
404,0.8383922576904297,12,Long (12-14),7,0,0,1,26.509167,29.324936,-2.8157692
405,0.7533005475997925,10,Medium (9-11),1,1,1,1,29.66076,27.190832,2.4699287
406,0.8689661622047424,13,Long (12-14),3,0,1,1,26.436604,26.50288,-0.06627655
407,0.777030348777771,15,Very Long (>14),1,1,1,1,28.700417,27.272146,1.4282703
408,0.6864341497421265,14,Long (12-14),1,1,1,1,29.102415,25.449097,3.6533184
409,0.8187533020973206,10,Medium (9-11),10,0,0,1,24.274853,27.980598,-3.7057457
410,0.7904651165008545,9,Medium (9-11),1,1,1,1,30.119164,28.652695,1.4664688
411,0.840515673160553,12,Long (12-14),1,1,1,1,30.54198,27.227581,3.3143997
412,0.6899551153182983,19,Very Long (>14),13,0,0,0,25.613218,27.569807,-1.9565887
413,0.7697103023529053,12,Long (12-14),1,1,1,1,30.336178,30.29763,0.038547516
414,0.8672723770141602,6,Short (<=8),10,0,0,1,25.854868,29.840881,-3.9860134
415,0.6580493450164795,9,Medium (9-11),3,0,1,1,25.560846,26.174473,-0.6136265
416,0.8701249957084656,8,Short (<=8),5,0,1,1,27.786583,28.719652,-0.9330692
417,0.8308262825012207,7,Short (<=8),33,0,0,0,23.98425,29.139763,-5.155514
418,0.6209670901298523,20,Very Long (>14),1,1,1,1,29.18058,28.726778,0.4538021
419,0.892606258392334,5,Short (<=8),7,0,0,1,27.359062,27.92042,-0.5613575
420,0.8614597320556641,6,Short (<=8),3,0,1,1,28.081491,30.42887,-2.3473778
421,0.8413412570953369,9,Medium (9-11),1,1,1,1,30.225563,25.8219,4.4036636
422,0.748347818851471,8,Short (<=8),2,0,1,1,28.258764,28.525791,-0.2670269
423,0.8082879185676575,13,Long (12-14),108,0,0,0,23.442263,28.364456,-4.9221935
424,0.8630377054214478,14,Long (12-14),18,0,0,0,24.773968,27.670372,-2.8964043
425,0.806114673614502,13,Long (12-14),1,1,1,1,33.12165,28.978788,4.1428623
426,0.8407717943191528,11,Medium (9-11),1,1,1,1,30.972052,28.052818,2.9192333
427,0.8110935688018799,14,Long (12-14),1,1,1,1,26.390808,26.297867,0.092941284
428,0.8194487690925598,9,Medium (9-11),3,0,1,1,28.170542,29.00644,-0.83589745
429,0.7310665845870972,11,Medium (9-11),1,1,1,1,30.380154,27.187597,3.1925564
430,0.7673543095588684,6,Short (<=8),10,0,0,1,24.125689,26.239895,-2.1142063
431,0.787244975566864,7,Short (<=8),2,0,1,1,29.343033,30.128622,-0.7855892
432,0.8981168866157532,8,Short (<=8),40,0,0,0,24.022106,27.559906,-3.5377998
433,0.8386328816413879,11,Medium (9-11),2,0,1,1,28.788132,29.650736,-0.86260414
434,0.5820339322090149,20,Very Long (>14),1,1,1,1,35.411697,24.111712,11.299986
435,0.7237894535064697,14,Long (12-14),1,1,1,1,30.379095,27.67017,2.7089252
436,0.6741657257080078,16,Very Long (>14),1,1,1,1,29.532766,27.050198,2.4825687
437,0.6704657673835754,8,Short (<=8),1,1,1,1,34.33986,29.955555,4.384304
438,0.870150625705719,9,Medium (9-11),110,0,0,0,23.391718,27.954573,-4.562855
439,0.6514577269554138,13,Long (12-14),1,1,1,1,33.720314,27.480656,6.2396584
440,0.7510385513305664,9,Medium (9-11),16,0,0,0,26.44754,28.043758,-1.5962181
441,0.9015040397644043,7,Short (<=8),17,0,0,0,25.95115,26.424747,-0.47359657
442,0.6307124495506287,7,Short (<=8),5,0,1,1,30.119276,31.541443,-1.4221668
443,0.6161425709724426,12,Long (12-14),1,1,1,1,32.72048,26.340902,6.3795795
444,0.5983746647834778,23,Very Long (>14),3,0,1,1,27.402979,32.459797,-5.056818
